C�digo;Produto; Custo de compra ;
527;Vinho Tinto Private Selection Bourbon Barrels Cabernet Sauvignon 2023 - Robert Mondavi; R$ 118,62 ;
227;Vinho Tinto Private Selection Cabernet Sauvignon 2022 - Robert Mondavi; R$ 103,98 ;
284;Vinho Tinto Private Selection Pinot Noir 2023 - Robert Mondavi; R$ 103,98 ;
177;Vinho Tinto Private Selection Red 2021 - Robert Mondavi; R$ 101,89 ;
389;Vinho Tinto Promis 2021 Ca'Marcanda - Gaja; R$ 539,10 ;
139;Vinho Tinto Protos Reserva 5º Año Tempranillo 2018 - Protos; R$ 318,16 ;
523;Vinho Tinto Protos Reserva 5º Año Tempranillo 2020 - Protos; R$ 318,16 ;
436;Vinho Tinto Prugnolo Rosso Di Montepulciano 2023 - Boscarelli; R$ 125,37 ;
586;Vinho Tinto Revelation Pinot Noir 2019 - Jerome Arnoux; R$ 282,83 ;
598;Vinho Tinto Roncagliette Barbaresco 2021 - Olek Bondonio; R$ 562,79 ;
468;Vinho Tinto Roquette & Cazes Douro 2022 - Roquette & Cazes; R$ 230,66 ;
286;"Vinho Tinto Rosso ""Attenti Al Lupo"" IGT Sangiovese 2022 - Podere Le Ripi"; R$ 164,47 ;
569;Vinho Tinto Rosso 2023 - Bakkanali; R$ 259,05 ;
303;Vinho Tinto Rosso Di Caparsa IGT 2020 - Caparsa; R$ 129,93 ;
243;Vinho Tinto Sant Antimo Rosso 2020 - Capanna; R$ 113,21 ;
133;Vinho Tinto Sierra de Las Palmas Pinot Noir 2021 - Vinos de Mar; R$ 487,01 ;
390;Vinho Tinto Sito Moresco Langhe 2020 - Gaja; R$ 578,54 ;
568;Vinho Tinto Sogni e Follia DOC Rosso Di Montalcino 2021 - Podere Le Ripi; R$ 229,54 ;
584;Vinho Tinto Sul Vulcano Etna 2021 - Donnafugata; R$ 229,34 ;
378;Vinho Tinto Tempo de Angelus 2021 Magnum - Angelus; R$ 429,40 ;
392;Vinho Tinto Tempo de Angelus 2023 - Angelus; R$ 184,62 ;
425;Vinho Tinto Tempo de Angelus 2023 Magnum - Angelus; R$ 429,40 ;
515;Vinho Tinto Valpolicella Ripasso 2023 - Montresor; R$ 78,70 ;
196;Vinho Tinto Vik 2021 - Viña Vik; R$ 733,37 ;
226;Vinho Tinto Vik A Limited Edition 2022 - Viña Vik; R$ 117,78 ;
619;Vinho Tinto Vik A Limited Edition 2023 - Viña Vik; R$ 84,77 ;
350;Vinho Tinto Villa Pattono Barbera D´Asti 2022 - Ratti; R$ 244,61 ;
533;Vinho Tinto Villa Pattono Monferrato 2016 - Ratti; R$ 184,94 ;
534;Vinho Tinto Villa Pattono Monferrato 2016 Magnum - Ratti; R$ 556,30 ;
437;Vinho Tinto Vino Nobile Di Montepulciano DOCG 2021 - Boscarelli; R$ 226,00 ;
Totais (247 Itens);;;
